group,element,private_creator,vr,vm,keyword,name,description,retired,vendors,sources
0008,010D,,UI,1,ContextGroupExtensionCreatorUID,Context Group Extension Creator UID,,N,standard,PS3.6
0008,010E,,UR,1,CodingSchemeURL,Coding Scheme URL,,N,standard,PS3.6
0008,010F,,CS,1,ContextIdentifier,Context Identifier,,N,standard,PS3.6
0008,0110,,SQ,1,CodingSchemeIdentificationSequence,Coding Scheme Identification Sequence,,N,standard,PS3.6
0008,0112,,LO,1,CodingSchemeRegistry,Coding Scheme Registry,,N,standard,PS3.6
0008,0114,,ST,1,CodingSchemeExternalID,Coding Scheme External ID,,N,standard,PS3.6
0008,0115,,ST,1,CodingSchemeName,Coding Scheme Name,,N,standard,PS3.6
0008,0116,,ST,1,CodingSchemeResponsibleOrganization,Coding Scheme Responsible Organization,,N,standard,PS3.6
0008,0117,,UI,1,ContextUID,Context UID,,N,standard,PS3.6
0008,0118,,UI,1,MappingResourceUID,Mapping Resource UID,,N,standard,PS3.6
0008,0119,,UC,1,LongCodeValue,Long Code Value,,N,standard,PS3.6
0008,0120,,UR,1,URNCodeValue,URN Code Value,,N,standard,PS3.6
0008,0121,,SQ,1,EquivalentCodeSequence,Equivalent Code Sequence,,N,standard,PS3.6
0008,0122,,LO,1,MappingResourceName,Mapping Resource Name,,N,standard,PS3.6
0008,0123,,SQ,1,ContextGroupIdentificationSequence,Context Group Identification Sequence,,N,standard,PS3.6
0008,0124,,SQ,1,MappingResourceIdentificationSequence,Mapping Resource Identification Sequence,,N,standard,PS3.6
0008,0201,,SH,1,TimezoneOffsetFromUTC,Timezone Offset From UTC,,N,standard,PS3.6
0008,0202,,,,,,,Y,standard,PS3.6
0008,0220,,SQ,1,ResponsibleGroupCodeSequence,Responsible Group Code Sequence,,N,standard,PS3.6
0008,0221,,CS,1,EquipmentModality,Equipment Modality,,N,standard,PS3.6
0008,0222,,LO,1,ManufacturerRelatedModelGroup,Manufacturer's Related Model Group,,N,standard,PS3.6
0008,0300,,SQ,1,PrivateDataElementCharacteristicsSequence,Private Data Element Characteristics Sequence,,N,standard,PS3.6
0008,0301,,US,1,PrivateGroupReference,Private Group Reference,,N,standard,PS3.6
0008,0302,,LO,1,PrivateCreatorReference,Private Creator Reference,,N,standard,PS3.6
0008,0303,,CS,1,BlockIdentifyingInformationStatus,Block Identifying Information Status,,N,standard,PS3.6
0008,0304,,US,1-n,NonidentifyingPrivateElements,Nonidentifying Private Elements,,N,standard,PS3.6
0008,0305,,SQ,1,DeidentificationActionSequence,Deidentification Action Sequence,,N,standard,PS3.6
0008,0306,,US,1-n,IdentifyingPrivateElements,Identifying Private Elements,,N,standard,PS3.6
0008,0307,,CS,1,DeidentificationAction,Deidentification Action,,N,standard,PS3.6
